project,accuracy,precision,recall,f1,f2
apache-ant-1.7.0,0.9410569105691057,0.3246866170789367,0.6180652953093345,0.4147264539618664,0.5096938989154558
apache-jmeter-2.10,0.9607113316790735,0.5667533266814334,0.8225490196078432,0.6648778587982932,0.7487433406930863
argouml,0.9474704741759211,0.7830589831818098,0.8945592662428808,0.8349868993718278,0.86970477699225
columba-1.4-src,0.9866048428645028,0.7156671899529042,0.8830055074744295,0.7905420422274355,0.8435287911205215
emf-2.4.1,0.8902809415337889,0.21966695377548093,0.6824670371581126,0.31207218707218704,0.4317275179608339
hibernate-distribution-3.3.2.GA,0.9309764309764309,0.7718332624631428,0.8203188110450172,0.7943209181599274,0.8094417714781031
jEdit-4.2,0.9523809523809524,0.2704523590887227,0.637930528662794,0.3777297677372528,0.4985758364962718
jfreechart-1.0.19,0.9667422524565382,0.6392446633825944,0.6814102564102565,0.6450088183421517,0.6629664932417226
jruby-1.4.0,0.9727891156462585,0.8622389705882353,0.9282405493546461,0.8934256201845739,0.9138330276664107
sql12,0.9551859551859553,0.4477231259476268,0.7610196196121093,0.5625501662653365,0.6663234460684885
