project,accuracy,precision,recall,f1,f2
abinit,0.46602787456445993,0.18834688346883469,0.9084967320261438,0.31200897867564537,0.5148148148148147
libmesh,0.47855917667238423,0.13209393346379647,0.84375,0.22842639593908629,0.40613718411552346
mdanalysis,0.5181286549707602,0.15845824411134904,0.7956989247311828,0.26428571428571435,0.44100119189511316
